service_type,subject_rf,value_cost,value_competition,value_cost_count,value_competition_count
ИРД,Приморский край,141.4054085593144,16.70113054967295,1988,2005
ИРД,Псковская область,2.3772249306065594,-96.45060580666869,38318,38318
ИРД,Республика Адыгея,29.014057079861658,18.54490477157867,147,124
ИРД,Республика Алтай,152.2100283152094,-17.201972484449204,7,7
ИРД,Республика Башкортостан,8.457010338019787,0.0,706,710
ИРД,Республика Бурятия,24.266066596084734,-1.7694759978809371,1623,1650
ИРД,Республика Калмыкия,50.32392341782001,-1.3580503763744773,265,265
ИРД,Республика Карелия,20.25936624831655,613.4806882375415,13906,4
ИРД,Республика Коми,87.39487686858195,0.0,9,4
ИРД,Республика Мордовия,,,0,0
ИРД,Республика Саха (Якутия),39.30490686997625,-81.44580219879612,2633,2633
ИРД,Республика Северная Осетия-Алания,0.8542160922112612,-97.30028523937729,4570,3130
ИРД,Республика Татарстан,28.20022415697441,0.0,13701,13701
ИРД,Республика Тыва,24.309217598260986,0.0,66,66
ИРД,Ростовская область,45.41718496850242,-100.0,9685,5194
ИРД,Самарская область,628.0285867614921,-18.932760743501042,32,19
ИРД,Сахалинская область,72.5827133077191,-32.26218954983087,3612,3612
ИРД,Свердловская область,9.8627934720621,89.75322196516525,98069,98069
ИРД,Севастополь,75.36065494023754,-15.416649852764662,1865,1637
ИРД,Смоленская область,,,0,0
ИРД,Ставропольский край,0.0,-100.0,6,1
ИРД,Тамбовская область,25.820225741736675,0.0,1390,1395
ИРД,Тверская область,56.934005152838104,-41.1459216038182,1532,1511
ИРД,Томская область,35.040593041106135,-7.511922119311835,3654,3256
ИРД,Тульская область,43.68254243980163,0.0,72,129
ИРД,Тюменская область,56.183918283017015,-20.69262683298993,5010,5006
ИРД,Ульяновская область,36.634753769037715,-15.357028458967674,547,547
ИРД,Хабаровский край,32.38716681119531,0.0,1160,1160
ИРД,Ханты-Мансийский автономный округ — Югра,7.42136787866208,4.057281972130261,24478,5013
ИРД,Челябинская область,19.471112816564638,-8.798844543722405,11564,4970
ИРД,Чеченская Республика,54.10587325497799,0.0,99,99
ИРД,Чувашская Республика,134.6012740361723,-32.6479419039281,31,31
ИРД,Чукотский автономный округ,103.8234571012595,-2.2768688792546885,322,322
ИРД,Ямало-Ненецкий автономный округ,41.23787928811939,-16.363395440185357,1311,1245
ИРД,Ярославская область,109.54046400641575,-4.768154922429153,981,981
Инженерные системы,-,,,0,0
Инженерные системы,Алтайский край,499.05748133212535,-6.15457169341475,154,57
Инженерные системы,Амурская область,6.840081380933778,-98.69409104009245,13379,13379
Инженерные системы,Архангельская область,382.68138073925087,65.11230733507213,1390,1390
Инженерные системы,Астраханская область,145.50226756324855,2.738888660043024,83,83
Инженерные системы,Белгородская область,246.15133803551558,2.5933910795578328,2743,2743
Инженерные системы,Брянская область,16.36703031978641,-92.98191509915532,31670,31670
Инженерные системы,Владимирская область,213.55532209395167,8.536238470390103,717,692
Инженерные системы,Волгоградская область,14.750129409192748,-96.34787190314714,43330,42991
Инженерные системы,Вологодская область,248.95263711878567,3.679944455980975,1675,932
Инженерные системы,Воронежская область,655.347841081868,39.73201750679074,2093,2090
Инженерные системы,Еврейская автономная область,22.581315518418617,-97.29960866445978,4173,4173
Инженерные системы,Забайкальский край,343.1305732644257,1.9043536848399143,718,709
Инженерные системы,Ивановская область,56.91824546781101,-73.15839440521952,6028,661
Инженерные системы,Иркутская область,201.78503573036429,-21.124926755715244,2143,2140
Инженерные системы,Кабардино-Балкарская Республика,2.0888038471821604,-100.0,4349,79
Инженерные системы,Калининградская область,3.2970045207540366,-0.33783783783783783,28082,592
Инженерные системы,Калужская область,242.6764039861407,7.355140136291833,1418,1327
Инженерные системы,Камчатский край,549.6119171613497,-27.136138946695453,942,933
Инженерные системы,Карачаево-Черкесская Республика,29.36594983515107,-89.04978596841607,1051,1051
Инженерные системы,Кемеровская область,287.81605202062053,-9.428171478297239,274,275
Инженерные системы,Кировская область,294.19709474348673,-12.405343787906112,2073,2063
Инженерные системы,Костромская область,14.471246935510866,86994.48510287704,8678,2974
Инженерные системы,Краснодарский край,250.5214830486881,14.253137688558134,1020,1014
Инженерные системы,Красноярский край,8.9062681171265,-98.30506635248491,53133,53133
